Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C129","C","C_0603_1608Metric",488.460000,-106.685000,90.000000,top
"C130","C","C_0603_1608Metric",490.860000,-106.685000,90.000000,top
"C131","C","C_0603_1608Metric",493.260000,-106.685000,90.000000,top
"C132","C","C_0603_1608Metric",495.660000,-106.685000,90.000000,top
"C133","C","C_0603_1608Metric",498.060000,-106.685000,90.000000,top
"C134","C","C_0603_1608Metric",500.460000,-106.685000,90.000000,top
"C135","C","C_0603_1608Metric",502.860000,-106.685000,90.000000,top
"C136","C","C_0603_1608Metric",505.260000,-106.685000,90.000000,top
"C137","C","C_0603_1608Metric",507.660000,-106.685000,90.000000,top
"C138","C","C_0603_1608Metric",510.060000,-106.685000,90.000000,top
"C139","C","C_0603_1608Metric",512.460000,-106.685000,90.000000,top
"C140","C","C_0603_1608Metric",514.860000,-106.685000,90.000000,top
"C141","C","C_0603_1608Metric",517.260000,-106.685000,90.000000,top
"C142","C","C_0603_1608Metric",519.660000,-106.685000,90.000000,top
"C143","C","C_0603_1608Metric",522.060000,-106.685000,90.000000,top
"C144","C","C_0603_1608Metric",524.460000,-106.685000,90.000000,top
"C145","C","C_0603_1608Metric",526.860000,-106.685000,90.000000,top
"C146","C","C_0603_1608Metric",529.260000,-106.685000,90.000000,top
"C147","C","C_0603_1608Metric",531.660000,-106.685000,90.000000,top
"C148","C","C_0603_1608Metric",534.060000,-106.685000,90.000000,top
"C149","C","C_0603_1608Metric",536.460000,-106.685000,90.000000,top
"C150","C","C_0603_1608Metric",538.860000,-106.685000,90.000000,top
"C151","C","C_0603_1608Metric",541.260000,-106.685000,90.000000,top
"C152","C","C_0603_1608Metric",543.660000,-106.685000,90.000000,top
"C153","C","C_0603_1608Metric",546.060000,-106.685000,90.000000,top
"C154","C","C_0603_1608Metric",548.460000,-106.685000,90.000000,top
"C155","C","C_0603_1608Metric",550.860000,-106.685000,90.000000,top
"C156","C","C_0603_1608Metric",553.260000,-106.685000,90.000000,top
"C157","C","C_0603_1608Metric",555.660000,-106.685000,90.000000,top
"C158","C","C_0603_1608Metric",558.060000,-106.685000,90.000000,top
"C159","C","C_0603_1608Metric",560.460000,-106.685000,90.000000,top
"C160","C","C_0603_1608Metric",562.860000,-106.685000,90.000000,top
"C161","C","C_0603_1608Metric",565.260000,-106.685000,90.000000,top
"C162","C","C_0603_1608Metric",567.660000,-106.685000,90.000000,top
"C163","C","C_0603_1608Metric",570.060000,-106.685000,90.000000,top
"C164","C","C_0603_1608Metric",572.460000,-106.685000,90.000000,top
"C165","C","C_0603_1608Metric",574.860000,-106.685000,90.000000,top
"C166","C","C_0603_1608Metric",577.260000,-106.685000,90.000000,top
"C167","C","C_0603_1608Metric",579.660000,-106.685000,90.000000,top
"C168","C","C_0603_1608Metric",582.060000,-106.685000,90.000000,top
"C169","C","C_0603_1608Metric",584.460000,-106.685000,90.000000,top
"C170","C","C_0603_1608Metric",586.860000,-106.685000,90.000000,top
"C171","C","C_0603_1608Metric",589.260000,-106.685000,90.000000,top
"C172","C","C_0603_1608Metric",591.660000,-106.685000,90.000000,top
"C173","C","C_0603_1608Metric",594.060000,-106.685000,90.000000,top
"C174","C","C_0603_1608Metric",596.460000,-106.685000,90.000000,top
"C175","C","C_0603_1608Metric",598.860000,-106.685000,90.000000,top
"C176","C","C_0603_1608Metric",601.260000,-106.685000,90.000000,top
"C177","C","C_0603_1608Metric",603.660000,-106.685000,90.000000,top
"C178","C","C_0603_1608Metric",606.060000,-106.685000,90.000000,top
"C179","C","C_0603_1608Metric",608.460000,-106.685000,90.000000,top
"C180","C","C_0603_1608Metric",610.860000,-106.685000,90.000000,top
"C181","C","C_0603_1608Metric",613.260000,-106.685000,90.000000,top
"C182","C","C_0603_1608Metric",615.660000,-106.685000,90.000000,top
"C183","C","C_0603_1608Metric",618.060000,-106.685000,90.000000,top
"C184","C","C_0603_1608Metric",620.460000,-106.685000,90.000000,top
"C185","C","C_0603_1608Metric",622.860000,-106.685000,90.000000,top
"C186","C","C_0603_1608Metric",625.260000,-106.685000,90.000000,top
"C187","C","C_0603_1608Metric",627.660000,-106.685000,90.000000,top
"C188","C","C_0603_1608Metric",630.060000,-106.685000,90.000000,top
"C189","C","C_0603_1608Metric",632.460000,-106.685000,90.000000,top
"C190","C","C_0603_1608Metric",634.860000,-106.685000,90.000000,top
"C191","C","C_0603_1608Metric",637.260000,-106.685000,90.000000,top
"C192","C","C_0603_1608Metric",639.660000,-106.685000,90.000000,top
"C193","C","C_0603_1608Metric",642.060000,-106.685000,90.000000,top
"C194","C","C_0603_1608Metric",644.460000,-106.685000,90.000000,top
"C195","C","C_0603_1608Metric",646.860000,-106.685000,90.000000,top
"C196","C","C_0603_1608Metric",649.260000,-106.685000,90.000000,top
"C197","C","C_0603_1608Metric",651.660000,-106.685000,90.000000,top
"C198","C","C_0603_1608Metric",654.060000,-106.685000,90.000000,top
"C199","C","C_0603_1608Metric",656.460000,-106.685000,90.000000,top
"C200","C","C_0603_1608Metric",658.860000,-106.685000,90.000000,top
"R1","0","R_0603_1608Metric",419.130000,-114.710000,0.000000,top
"R2","0","R_0603_1608Metric",539.160000,-114.620000,0.000000,top
"R3","0","R_0603_1608Metric",299.140000,-114.500000,0.000000,top
"U1","WS2812-2020","LED_WS2812-2020",181.260000,-111.173522,90.000000,top
"U2","WS2812-2020","LED_WS2812-2020",183.660000,-111.173522,90.000000,top
"U3","WS2812-2020","LED_WS2812-2020",186.060000,-111.173522,90.000000,top
"U4","WS2812-2020","LED_WS2812-2020",188.460000,-111.173522,90.000000,top
"U5","WS2812-2020","LED_WS2812-2020",190.860000,-111.173522,90.000000,top
"U6","WS2812-2020","LED_WS2812-2020",193.260000,-111.173522,90.000000,top
"U7","WS2812-2020","LED_WS2812-2020",195.660000,-111.173522,90.000000,top
"U8","WS2812-2020","LED_WS2812-2020",198.060000,-111.173522,90.000000,top
"U9","WS2812-2020","LED_WS2812-2020",200.460000,-111.173522,90.000000,top
"U10","WS2812-2020","LED_WS2812-2020",202.860000,-111.173522,90.000000,top
"U11","WS2812-2020","LED_WS2812-2020",205.260000,-111.173522,90.000000,top
"U12","WS2812-2020","LED_WS2812-2020",207.660000,-111.173522,90.000000,top
"U13","WS2812-2020","LED_WS2812-2020",210.060000,-111.173522,90.000000,top
"U14","WS2812-2020","LED_WS2812-2020",212.460000,-111.173522,90.000000,top
"U15","WS2812-2020","LED_WS2812-2020",214.860000,-111.173522,90.000000,top
"U16","WS2812-2020","LED_WS2812-2020",217.260000,-111.173522,90.000000,top
"U17","WS2812-2020","LED_WS2812-2020",219.660000,-111.173522,90.000000,top
"U18","WS2812-2020","LED_WS2812-2020",222.060000,-111.173522,90.000000,top
"U19","WS2812-2020","LED_WS2812-2020",224.460000,-111.173522,90.000000,top
"U20","WS2812-2020","LED_WS2812-2020",226.860000,-111.173522,90.000000,top
"U21","WS2812-2020","LED_WS2812-2020",229.260000,-111.173522,90.000000,top
"U22","WS2812-2020","LED_WS2812-2020",231.660000,-111.173522,90.000000,top
"U23","WS2812-2020","LED_WS2812-2020",234.060000,-111.173522,90.000000,top
"U24","WS2812-2020","LED_WS2812-2020",236.460000,-111.173522,90.000000,top
"U25","WS2812-2020","LED_WS2812-2020",238.860000,-111.173522,90.000000,top
"U26","WS2812-2020","LED_WS2812-2020",241.260000,-111.173522,90.000000,top
"U27","WS2812-2020","LED_WS2812-2020",243.660000,-111.173522,90.000000,top
"U28","WS2812-2020","LED_WS2812-2020",246.060000,-111.173522,90.000000,top
"U29","WS2812-2020","LED_WS2812-2020",248.460000,-111.173522,90.000000,top
"U30","WS2812-2020","LED_WS2812-2020",250.860000,-111.173522,90.000000,top
"U31","WS2812-2020","LED_WS2812-2020",253.260000,-111.173522,90.000000,top
"U32","WS2812-2020","LED_WS2812-2020",255.660000,-111.173522,90.000000,top
"U33","WS2812-2020","LED_WS2812-2020",258.060000,-111.173522,90.000000,top
"U34","WS2812-2020","LED_WS2812-2020",260.460000,-111.173522,90.000000,top
"U35","WS2812-2020","LED_WS2812-2020",262.860000,-111.173522,90.000000,top
"U36","WS2812-2020","LED_WS2812-2020",265.260000,-111.173522,90.000000,top
"U37","WS2812-2020","LED_WS2812-2020",267.660000,-111.173522,90.000000,top
"U38","WS2812-2020","LED_WS2812-2020",270.060000,-111.173522,90.000000,top
"U39","WS2812-2020","LED_WS2812-2020",272.460000,-111.173522,90.000000,top
"U40","WS2812-2020","LED_WS2812-2020",274.860000,-111.173522,90.000000,top
"U41","WS2812-2020","LED_WS2812-2020",277.260000,-111.173522,90.000000,top
"U42","WS2812-2020","LED_WS2812-2020",279.660000,-111.173522,90.000000,top
"U43","WS2812-2020","LED_WS2812-2020",282.060000,-111.173522,90.000000,top
"U44","WS2812-2020","LED_WS2812-2020",284.460000,-111.173522,90.000000,top
"U45","WS2812-2020","LED_WS2812-2020",286.860000,-111.173522,90.000000,top
"U46","WS2812-2020","LED_WS2812-2020",289.260000,-111.173522,90.000000,top
"U47","WS2812-2020","LED_WS2812-2020",291.660000,-111.173522,90.000000,top
"U48","WS2812-2020","LED_WS2812-2020",294.060000,-111.173522,90.000000,top
"U49","WS2812-2020","LED_WS2812-2020",296.460000,-111.173522,90.000000,top
"U50","WS2812-2020","LED_WS2812-2020",298.860000,-111.173522,90.000000,top
"U51","WS2812-2020","LED_WS2812-2020",301.260000,-111.173522,90.000000,top
"U52","WS2812-2020","LED_WS2812-2020",303.660000,-111.173522,90.000000,top
"U53","WS2812-2020","LED_WS2812-2020",306.060000,-111.173522,90.000000,top
"U54","WS2812-2020","LED_WS2812-2020",308.460000,-111.173522,90.000000,top
"U55","WS2812-2020","LED_WS2812-2020",310.860000,-111.173522,90.000000,top
"U56","WS2812-2020","LED_WS2812-2020",313.260000,-111.173522,90.000000,top
"U57","WS2812-2020","LED_WS2812-2020",315.660000,-111.173522,90.000000,top
"U58","WS2812-2020","LED_WS2812-2020",318.060000,-111.173522,90.000000,top
"U59","WS2812-2020","LED_WS2812-2020",320.460000,-111.173522,90.000000,top
"U60","WS2812-2020","LED_WS2812-2020",322.860000,-111.173522,90.000000,top
"U61","WS2812-2020","LED_WS2812-2020",325.260000,-111.173522,90.000000,top
"U62","WS2812-2020","LED_WS2812-2020",327.660000,-111.173522,90.000000,top
"U63","WS2812-2020","LED_WS2812-2020",330.060000,-111.173522,90.000000,top
"U64","WS2812-2020","LED_WS2812-2020",332.460000,-111.173522,90.000000,top
"U65","WS2812-2020","LED_WS2812-2020",334.860000,-111.173522,90.000000,top
"U66","WS2812-2020","LED_WS2812-2020",337.260000,-111.173522,90.000000,top
"U67","WS2812-2020","LED_WS2812-2020",339.660000,-111.173522,90.000000,top
"U68","WS2812-2020","LED_WS2812-2020",342.060000,-111.173522,90.000000,top
"U69","WS2812-2020","LED_WS2812-2020",344.460000,-111.173522,90.000000,top
"U70","WS2812-2020","LED_WS2812-2020",346.860000,-111.173522,90.000000,top
"U71","WS2812-2020","LED_WS2812-2020",349.260000,-111.173522,90.000000,top
"U72","WS2812-2020","LED_WS2812-2020",351.660000,-111.173522,90.000000,top
"U73","WS2812-2020","LED_WS2812-2020",354.060000,-111.173522,90.000000,top
"U74","WS2812-2020","LED_WS2812-2020",356.460000,-111.173522,90.000000,top
"U75","WS2812-2020","LED_WS2812-2020",358.860000,-111.173522,90.000000,top
"U76","WS2812-2020","LED_WS2812-2020",361.260000,-111.173522,90.000000,top
"U77","WS2812-2020","LED_WS2812-2020",363.660000,-111.173522,90.000000,top
"U78","WS2812-2020","LED_WS2812-2020",366.060000,-111.173522,90.000000,top
"U79","WS2812-2020","LED_WS2812-2020",368.460000,-111.173522,90.000000,top
"U80","WS2812-2020","LED_WS2812-2020",370.860000,-111.173522,90.000000,top
"U81","WS2812-2020","LED_WS2812-2020",373.260000,-111.173522,90.000000,top
"U82","WS2812-2020","LED_WS2812-2020",375.660000,-111.173522,90.000000,top
"U83","WS2812-2020","LED_WS2812-2020",378.060000,-111.173522,90.000000,top
"U84","WS2812-2020","LED_WS2812-2020",380.460000,-111.173522,90.000000,top
"U85","WS2812-2020","LED_WS2812-2020",382.860000,-111.173522,90.000000,top
"U86","WS2812-2020","LED_WS2812-2020",385.260000,-111.173522,90.000000,top
"U87","WS2812-2020","LED_WS2812-2020",387.660000,-111.173522,90.000000,top
"U88","WS2812-2020","LED_WS2812-2020",390.060000,-111.173522,90.000000,top
"U89","WS2812-2020","LED_WS2812-2020",392.460000,-111.173522,90.000000,top
"U90","WS2812-2020","LED_WS2812-2020",394.860000,-111.173522,90.000000,top
"U91","WS2812-2020","LED_WS2812-2020",397.260000,-111.173522,90.000000,top
"U92","WS2812-2020","LED_WS2812-2020",399.660000,-111.173522,90.000000,top
"U93","WS2812-2020","LED_WS2812-2020",402.060000,-111.173522,90.000000,top
